episode,score
1,-113.23800285326347
2,-130.37914763407886
3,-81.56025545293907
4,-122.9556383275632
5,-135.43167255894826
6,-236.76192135843692
7,-110.48038229036149
8,-56.43918604952107
9,-102.23104759726252
10,-102.00681125323227
11,-95.53044703606376
12,-283.0917316617878
13,-302.9271896199182
14,-185.6071519349358
15,-100.43042150741546
16,-166.3260861215387
17,-177.06486362481752
18,-245.63130098444515
19,-68.70489134650064
20,-107.73679241096217
21,-433.16896022226666
22,-187.48662050673792
23,-83.88577022784455
24,-213.71848423722292
25,-322.19721956720014
26,-263.6514085611143
27,-46.9206625359087
28,-220.4248165899344
29,-90.887330715242
30,-230.8528766984434
31,-174.59835525990752
32,-293.8500881190847
33,-262.32339225451415
34,-174.48714022441698
35,-109.19767189949475
36,-126.56577970661444
37,-394.8443922507666
38,-88.29768766885628
39,-110.97143437620262
40,-219.08323924643423
41,-88.51059765685565
42,-357.18001458018455
43,-137.8942966492603
44,-104.6644817442866
45,-273.0052094857893
46,-364.7094797332227
47,-295.9470141721642
48,-108.51099704453377
49,-345.6106122093322
50,-106.78955893381791
51,-135.01357671021344
52,-235.28681804004304
53,-119.96773707297052
54,-190.0083476277552
55,-425.30365669613894
56,-160.9114352494543
57,-374.6824204722219
58,-142.93321653748094
59,-307.67104790250926
60,-327.6832375535147
61,-159.27474275768736
62,-89.73984592084174
63,-195.94651860630938
64,-102.08710459370249
65,-319.2302483606322
66,-117.64085610127549
67,-453.2248367183734
68,-263.7781483437513
69,-159.0413405785269
70,-373.93824349703885
71,-119.29300090398203
72,-185.51864669355615
73,-286.45419364824414
74,-390.40459216827264
75,-285.0660346055136
76,-259.24091351676134
77,-219.15169566536366
78,-308.13135246832553
79,-304.4393636154066
80,-227.57730387302436
81,-385.8987944185544
82,-329.98117445217974
83,-214.14740222988698
84,-312.8395141481769
85,53.20200705911026
86,-147.97466158809902
87,-218.6450211723938
88,-458.25102696132143
89,-137.5851113286979
90,-410.15311132516086
91,-95.8604830675039
92,-168.23270168175029
93,-350.00514713499604
94,-364.2320730572889
95,-176.68517024934536
96,-71.75581789879573
97,-111.76928268147424
98,-59.61236893766086
99,-298.74502741620273
100,-89.64620184630031
101,-221.77590758498735
102,-96.06587244335219
103,-177.0411577658781
104,-370.48436701132346
105,-378.35902953902576
106,-490.38654565634874
107,-110.87538436831741
108,-365.43987575318477
109,-236.98705436624405
110,-97.85384127723562
111,-161.11821382169163
112,-77.0979465477028
113,20.28252042045331
114,-139.3577932300173
115,-131.68933097157776
116,-272.4049410603659
117,-203.92838269820925
118,-298.4814756362813
119,-104.52384589048366
120,-162.7918095327613
121,-182.58859088966008
122,-271.3777720180018
123,-208.59938935351863
124,-91.2016101814132
125,-146.05110482135962
126,-293.2121151153378
127,-242.85752646539402
128,-360.8751810532311
129,-107.01903470736917
130,-67.16463696341792
131,-191.55031569321497
132,-164.32821087235908
133,-392.4858880443113
134,-284.4909659818111
135,-186.9381452722332
136,-344.5348444519842
137,-175.2488129006616
138,-288.68445259753344
139,-93.01790947994188
140,-240.6933554323387
141,-266.1116458224009
142,-178.19259240377826
143,-112.69566559014672
144,-202.88357434638243
145,-331.9505084077942
146,-141.75083082769748
147,-148.42305407125713
148,-161.26572359411415
149,-105.11230267309377
150,-67.08234857106773
151,-210.1491907644034
152,-143.47171358907627
153,-61.00583690134562
154,-387.2831454390804
155,-286.1556596007788
156,-119.11860129694891
157,-186.10604599843998
158,-78.0343652239176
159,-134.89345609605374
160,-165.03506356043872
161,-197.03450997775832
162,-379.06727237975196
163,-53.62034562810608
164,-305.3391895866811
165,-123.56863830813563
166,-225.04100022409884
167,-67.3405271247188
168,-283.23456509291236
169,-118.50620358389395
170,-243.33331603986485
171,-119.90789569919885
172,-105.704194804761
173,-94.13987924384898
174,-382.76563811344784
175,-146.6079467169681
176,-180.41052936051585
177,-173.8228975049286
178,-491.26036593767026
179,-299.6057548505485
180,-80.61401970393699
181,-66.9284083836369
182,-129.49232276125815
183,-104.49009315662211
184,-355.22990499519085
185,-165.61158564862166
186,-82.29414189022239
187,-60.6288191253449
188,-338.64565847363997
189,-57.52137968904549
190,-188.69135343480247
191,-106.59681628962613
192,-328.66875200737513
193,-288.84707538592716
194,-146.15991896260982
195,-91.45185480622439
196,-286.0064813976454
197,-292.0144419646398
198,-258.7024005387263
199,-85.47208654563534
200,-64.02477666265895
201,-218.39947661436918
202,-114.57074298665799
203,-148.5378448169747
204,-153.90015361758358
205,-123.50334673138397
206,-47.304811596934684
207,-157.45706264264717
208,-101.76094222985867
209,-107.80100245777926
210,-82.81201643369312
211,-88.74117490770317
212,-223.94071833057714
213,-112.43652851657524
214,-125.20535711244727
215,-359.9075150377304
216,-367.259695232139
217,-387.62454975216775
218,-142.79044608926753
219,-86.24630944868213
220,-548.2683016700807
221,-2.0796955229891125
222,-83.66984703760623
223,-255.4332217364388
224,-89.99619323421362
225,-294.31364972363014
226,15.3363766241267
227,-92.88264289269728
228,-114.92657141688224
229,-256.9443876948371
230,-276.117079470676
231,-108.94669090343349
232,-86.72390545164114
233,-333.31653402465724
234,-90.44540225440771
235,-72.05311619295072
236,-88.48837141207731
237,-147.40563290163215
238,-231.1594691572118
239,-379.51973884321205
240,-289.13577766524133
241,-179.20040389354583
242,-92.26133655952484
243,-115.7941782328984
244,-443.79997967341683
245,-130.0614086546541
246,-212.61621226984676
247,-96.86761727774369
248,-85.46124707204221
249,-369.9944947966415
250,-223.64194032701212
251,-420.11639904614316
252,-106.80757657055227
253,-387.6631058193512
254,-142.48878847287634
255,-146.73895950314574
256,-260.76440194323743
257,-404.8035197608922
258,-126.44343577248978
259,-219.58879966819512
260,-203.20111903565282
261,-129.77193614186638
262,-86.34423330889736
263,-232.71049655216927
264,-300.5974026753797
265,-76.2025189421056
266,-91.14420528377562
267,-370.84132747159316
268,-469.0884426766055
269,-301.55483954796273
270,-270.3316743127176
271,-123.34151765741339
272,-345.66224786233647
273,-82.95188426492325
274,-302.4583987161142
275,-68.00766559655426
276,-110.07188781104368
277,-5.015471981968375
278,-345.23819178650876
279,-99.65971423904844
280,-79.22186972575933
281,-112.90568263288858
282,-378.4813989368596
283,-85.83085305718916
284,-97.77808555179486
285,-473.48861451247143
286,-180.0832384035134
287,-310.13117254797197
288,-365.0815648474704
289,-175.0952548933051
290,-350.05763390114805
291,-109.12654493780578
292,-373.8671876635009
293,-353.88398925207434
294,-307.9231100572133
