episode,score
1,-298.24361054415795
2,-175.2853645992352
3,-112.52587764187781
4,-407.38772207407806
5,-68.43947490654156
6,-152.32883663711644
7,-194.66935505239036
8,-218.6561832078894
9,-156.557666051431
10,-383.718497053433
11,-189.09576870196838
12,-102.60084192853175
13,-112.74424220358577
14,-66.32835694142085
15,-122.81435241590704
16,-120.09954250106954
17,-101.57495610917285
18,-14.549190122213076
19,-336.4645561963747
20,-108.80999154729074
21,-200.16307413030867
22,-515.7815396828338
23,-177.22983231263504
24,-69.741528298916
25,-65.30575203251897
26,-59.06033542358746
27,-398.46340896787956
28,-84.74833610046862
29,-131.9911146894619
30,-387.11716040470736
31,-91.99524924484962
32,-113.35191009323665
33,-141.810639738588
34,-227.46187040981937
35,-120.67972919761704
36,-459.9516611036849
37,-132.3115711349439
38,-118.80424740103625
39,-134.04832164079727
40,-160.58360455312126
41,-352.2598471943983
42,-402.23260302538847
43,-287.5961765935208
44,-207.78002056095332
45,-102.14711999047682
46,-225.28131574233032
47,-79.37003222056457
48,-101.51517980874209
49,-69.26641844251526
50,-199.06847947106124
51,-186.21362859015278
52,-175.10147504411884
53,-161.49011987563676
54,-263.15387503885177
55,-174.54095494071254
56,-190.4134307474306
57,-161.06903175208174
58,-145.97681567468123
59,-88.17499578397567
60,-142.1008970803282
61,-96.29947954092295
62,-109.73536639634237
63,-342.7444473572222
64,-125.9642035603676
65,-169.64108415091192
66,-122.96101589895028
67,-78.49205588613448
68,-227.88569661294795
69,-19.70103720257795
70,-336.1709347845609
71,-101.14897318564583
72,-244.2392413782158
73,-187.19382194505744
74,-271.7287579305612
75,-175.8280339695675
76,-83.7884435399346
77,-150.6012820897972
78,-277.6846848645419
79,-145.23732234200125
80,-114.41317719701479
81,-173.7701775479282
82,-169.65132892355047
83,-331.35976535564
84,-74.13307465688578
85,-353.91646241049443
86,-325.53560425440014
87,-129.62292013136238
88,-58.150305084705
89,-262.3063543838417
90,-100.16183336548302
91,-143.506762791783
92,-96.88863320509725
93,-278.2369785438125
94,-66.61061361656124
95,-115.41820641568923
96,-217.86980491299005
97,-193.25816741740186
98,-54.88003797402305
99,-37.30882050680171
100,-203.60174910440014
101,-111.2213847964906
102,-193.056085592879
103,-167.30690700078156
104,-50.22555495375567
105,-497.40919498867464
106,-445.63832755264826
107,-89.9763767563974
108,-198.77501084162748
109,-461.6191387246333
110,-231.40835395774405
111,-271.0629345682147
112,-405.5676617230432
113,-182.1250446192641
114,-161.79407030355432
115,-16.72655971936433
116,-47.84268506260133
117,-96.15181249964232
118,-112.2329326004991
119,-411.24588524875503
120,-77.515662360175
121,-77.13192564269545
122,-366.8324787506181
123,-291.40429615298467
124,-205.1723413131685
125,-219.7296039607212
126,-128.84153471652695
127,-138.75628569343803
128,-172.06493886164603
129,-90.3350764543284
130,-118.58982795791356
131,-129.061359656695
132,-21.36604155296304
133,-420.482891974522
134,-240.27685646754907
135,-78.11616484966827
136,-88.89664853344136
137,-124.3532015332057
138,-95.24429979077969
139,-211.91994177802104
140,-147.9123712547286
141,-500.8348026331546
142,-283.67877893655975
143,-98.96702820641458
144,-121.01531617530415
145,-131.63045340781102
146,-255.2995259076484
147,-127.728346805251
148,-244.42283650669975
149,-156.30968706544883
150,-82.32268644217478
151,-112.43383100747198
152,-105.54230296138599
153,-168.16076966466278
154,-115.51489632320539
155,-93.9838576923895
156,-89.82393092442828
157,-200.3059125903655
158,-97.30979316466069
159,-114.55065476583609
160,-274.6714019082166
161,-108.65307699375101
162,-168.91336231331343
163,-150.6687532939689
164,-340.37532642735755
165,-109.49204800545081
166,-67.64990373131613
167,-157.60214098391876
168,-143.25878554280843
169,-78.75930611114588
170,-140.93011998360367
171,-125.8685137225041
172,-425.4718174427164
173,-223.54344063635656
174,-131.0166031041756
175,-82.24454525054985
176,-76.5180475788404
177,-365.00004132452676
178,-324.55888909481456
179,-18.935572118622204
180,-149.49087796378592
181,-49.365758169687446
182,-261.7775571105327
183,-112.53992281378497
184,-94.10570448286501
185,-109.41278484058343
186,-116.1864337692121
187,-234.2883277812279
188,-182.89818930983387
189,-124.29839599255871
190,-134.0488279868926
191,-220.52074035216356
192,-94.02474293270187
193,-96.80758264988987
194,35.870106003117485
195,-241.838179247642
196,-95.05721655476766
197,-100.47126435650904
198,-144.32444593731674
199,-105.6930122581826
200,-88.88356341500243
201,-50.813964406611845
202,-214.30867169137576
203,-102.28506110531703
204,-73.4556835798305
205,-89.57181891048847
206,-229.38985500601845
207,-131.91493069781174
208,-229.88851371138068
209,-464.3694038351052
210,-21.565137862727298
211,-173.79873265088708
212,-225.9839825082679
213,-118.88436523032942
214,-110.92625384926933
215,-254.52456221274807
216,-193.36346476902605
217,-84.46291246953726
218,-168.01541990491853
219,-48.72434330198365
220,-75.59942451899353
221,-448.4275771949206
222,-72.8286419948497
223,-86.26338194886972
224,-48.28827056039577
225,16.62771455284492
226,-452.02405720931245
227,-419.7528416681956
228,-22.679996617690435
229,-103.22407957500822
230,-118.10347306420854
231,-140.6042862211347
232,-83.51412902501693
233,-73.73804096662946
234,-288.4388382960118
235,-125.38693324406377
236,-358.25074619809277
237,-104.17026795255644
238,-114.34260822563513
239,-85.84896136871019
240,-293.1674840150996
241,-183.11786439643816
242,-126.32277439751584
243,-104.07807073670605
244,20.563037674949967
245,-174.49159567744766
246,-94.38858234664573
247,-43.37311281446631
248,-167.98306376676524
249,-77.59847397400958
250,-56.579815750643235
251,-139.4610588533193
252,-164.02030405811183
253,-106.15116689279566
254,-163.75746743347935
255,-319.2802443176145
256,-181.17194047276723
257,-110.02428238021756
258,-143.54256075737533
259,-420.04780294165033
260,-135.85918976406703
261,-241.02778923980003
262,22.877883465411387
263,-109.12752262767243
264,-110.80633590713903
265,-103.00217772632216
266,-138.5245889018135
267,-75.64935653843992
268,-178.17998536204553
269,-405.6849139856962
270,-155.51979665948818
271,-174.80558735341276
272,-86.77543482399236
273,-210.0606047970138
274,-91.16168015678575
275,-187.2128515791517
276,-285.15726727712985
277,-99.09678539617698
278,-106.29918478016558
279,-63.97804324808669
280,-62.383035312688804
281,-272.23642595502685
282,-102.31358216162246
283,-137.66312333856874
284,-280.47530335219074
285,-127.32582274845771
286,-88.31945844755947
287,-351.0508448110602
288,-216.25169634325889
289,-168.76200495275572
290,-66.5834265337211
291,-184.0704437090793
292,-163.84770055850666
293,-201.3626385759061
294,-203.65514374575753
295,-276.9070139896471
296,-170.144504247041
297,-63.62543768002076
298,-126.0464365209057
299,-268.71311729093276
300,-121.92095081544771
301,-108.09350866031338
302,-62.885198692734235
303,-231.8365663110683
304,-265.262253199445
305,-112.9755279298364
306,-120.59694229524936
307,-177.35931925475973
308,-121.58095829800304
309,-116.77642366453087
310,-85.7211815554407
311,-111.10520565814028
312,-211.38871916153136
313,-132.44785212492064
314,-259.82092018781617
315,-268.8207512020243
316,-199.27419750309497
317,-83.22563576270547
318,-316.9709541389591
319,-22.840776490486533
320,-435.5489181659071
321,-87.00213111181577
322,-113.09057814555314
323,11.21733742644578
324,-109.11226701200677
325,-96.65622814971375
326,-84.54866372131976
327,-166.1935025697386
328,-94.11406988124688
329,-83.29593115555373
330,-115.41019595720789
331,-88.99045732234568
332,-100.33778137381172
333,-209.05327847367153
334,-273.84314078527615
335,-78.00304340985717
336,-66.13475378326132
337,-126.72843380647211
338,-226.68663094954206
339,-94.89813678715136
340,-113.16249990253209
341,-211.34204828729884
342,-105.29577161429441
343,-266.3836597612134
344,-121.35684255034184
345,-106.35471092845168
346,-74.45193040567855
347,-95.47817986528396
348,-198.91567889035923
349,-80.75498627266802
350,-77.09110460854865
351,-72.12667503307975
352,-127.8524117677845
353,-140.8229561209744
354,-92.28992448325866
355,-264.89006484415535
356,-119.57848925267054
357,-165.92399343012704
358,-400.843865468361
359,-262.13013655468086
360,-121.0728966312042
361,-98.13898855431856
362,-179.99936151780173
363,-145.60290337186345
364,-135.0907982877401
365,-317.0289878245651
366,-135.2101320972089
367,-129.54896314256075
368,-82.45635997407862
369,-203.77855900893167
370,-278.81193278447205
371,-118.12598209344782
372,-168.20790140587707
373,-112.54601419418205
374,-133.29550179591126
375,-83.25618169437163
376,-274.24891925216775
377,-202.8874673633237
378,-264.8658494147154
379,-279.45706990742946
380,-126.50390747272138
381,-175.1828092071092
382,-165.35394127095432
383,-81.90459043070155
384,-105.22802574134579
385,-121.24317008170395
386,-165.66818635428302
387,-143.10123842214426
388,-108.83112480338767
389,-150.8469999341449
390,-159.9068847284787
391,-25.269484237910476
392,-90.5893096747639
393,-67.45582076763752
394,-88.37799964289735
395,-125.06869902078343
396,-93.357626672316
397,-105.39375990618247
398,-90.50416068891803
399,-109.65394674608648
400,-121.79972447373719
401,-108.35543969031049
402,-133.4867770345921
403,-220.22690377812182
404,-157.03116942314023
405,-84.38927804982164
406,-135.8601548253274
407,-114.46146875813456
408,-156.48670646052963
409,18.510884932890647
410,-249.50098738558583
411,-123.70333240108826
412,-125.24164824324218
413,-99.5126724222827
414,-70.33041557777065
415,-156.00943837629788
416,-56.28800495176101
417,-114.79392034436762
